Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Nigeria,NGA,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0148020844373291,0.0175679480940034,0.0347918235156881,0.0526569839240635,0.0591729546793477,0.0650147198455372,0.0650034884884141,0.121935851510772,0.10955781274292,0.0935859022008795,0.0819700956962295,0.0722216096731856,0.0833260708360262,0.0761208504518983,0.069860995882248,0.0650299669942317,0.0612505246297629
North Macedonia,MKD,Economic Fitness Metric,EF.EFM.PROD.XD,1.17103464283188,1.13084762448505,1.14428514707228,1.08863150538859,1.03602047572787,1.0080447040614,0.971857667950899,0.959702953500584,0.918735615965312,0.937425961042291,0.840069832063941,0.83877119164927,0.85832460750091,0.858003826641585,0.88697354080838,0.9335703387036,1.07282663617199
North Macedonia,MKD,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0312035241610115,0.0323825148586652,0.0318669651947497,0.031383213531947,0.0331881249911178,0.0335857348306325,0.0347704984132362,0.0365765060188183,0.038139267150701,0.0396582459933708,0.0407400707058284,0.0428343322230611,0.0447336028904795,0.0462630910692193,0.0472011096442224,0.0485340480150502,0.0508323771700461
Norway,NOR,Economic Fitness Metric,EF.EFM.PROD.XD,0.858028108693489,0.734200928497913,0.75375211359685,0.777235212683284,0.712590223215497,0.719647534623749,0.782758711549395,0.780093255742624,0.845142540341611,0.868957103499888,0.792423794453079,0.714511599503878,0.838576972108261,0.902322568270269,0.679005126695538,0.525079367886862,0.740749667310669
Norway,NOR,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.571314804547741,0.56994938982069,0.589996584991924,0.593984476093879,0.584283508981979,0.563228693579773,0.535952413091178,0.519635203269408,0.497427351426236,0.485931619783769,0.476720441625084,0.468165574046086,0.456738653763206,0.445255720835995,0.435157083930488,0.431408213955167,0.426186964874371
Oman,OMN,Economic Fitness Metric,EF.EFM.PROD.XD,0.139059748157311,0.212816784018277,0.177204735986371,0.182497793608209,0.164317411194525,0.326047154954634,0.316514767368282,0.32255935217924,0.418581725912893,0.454558309068463,0.507198869566935,0.447043064012168,0.479785824627062,0.577772286920113,0.518550892886662,0.408542658469181,0.17525204282067
Oman,OMN,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0161616573528261,0.0226393595497475,0.0245041778864625,0.0278646155886888,0.0301187384997624,0.037037050015182,0.0464156653328389,0.0508800367776772,0.0571981884259578,0.060258684975243,0.0648100285472236,0.0689366742219176,0.0720638392381828,0.0783039369815982,0.0834281058984944,0.0864063589543313,0.0751072302993645
Pakistan,PAK,Economic Fitness Metric,EF.EFM.PROD.XD,1.34570951436899,1.70050015303207,1.66851969963409,1.66174057225654,1.72924923822275,1.66699029603992,1.69817872141107,1.70537006705383,1.64363123824206,1.60353300422145,1.64204460437032,1.68681357591424,1.72035641546884,1.72132000202509,1.72058751964081,1.70910503166762,1.59363384482119
Pakistan,PAK,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.261091767819485,0.301604792199677,0.317895170384777,0.323829577636105,0.325409436615323,0.322177486632772,0.324756949057355,0.324904904200574,0.328289370922554,0.325125964335249,0.325865347265248,0.318729026478701,0.316193976550664,0.307575693815815,0.30587785710979,0.308631444224461,0.296321181626216
Panama,PAN,Economic Fitness Metric,EF.EFM.PROD.XD,1.64322906055338,1.59256744567863,1.22453697585446,1.54719935759216,1.53503569045157,1.69832033179566,1.52236861863207,1.71676480822153,1.56717660296427,1.53703114020247,1.52400467001438,1.50473052723834,1.48198079259743,1.57096469541526,0.794381901290251,0.807742190117936,0.687334082733035
Panama,PAN,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0578412855613464,0.111608399593582,0.133332166309502,0.141720428358959,0.145725116217338,0.151833876796532,0.151950717918658,0.146713222778723,0.142733235793813,0.138887279726345,0.135181568332674,0.128925673905922,0.126215083915466,0.119578384383368,0.10641678323636,0.0974698941180368,0.0888716562076307
Papua New Guinea,PNG,Economic Fitness Metric,EF.EFM.PROD.XD,0.13283293314527,0.132336133370744,0.133600972749533,0.138698861381089,0.237265568251164,0.226185211821033,0.141044867819524,0.129414489292255,0.118543029286835,0.126812069779354,0.123077651334502,0.132769401619357,0.154654246483352,0.160140671652971,0.162131758922506,0.089724337042965,0.106404445376813
Papua New Guinea,PNG,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.00883560758581749,0.0093089863182792,0.0103965992532732,0.0112660335301172,0.0135452694465549,0.014377009943327,0.0143384017778687,0.0147338629652119,0.0143137355854444,0.0142031928892494,0.015473519428816,0.0167792766994976,0.0181993321361428,0.0177234573100359,0.0176318005978588,0.0172465270753402,0.0163415042368156
Paraguay,PRY,Economic Fitness Metric,EF.EFM.PROD.XD,0.399519632644799,0.350631000254645,0.347500554865938,0.343649832265739,0.349943246374259,0.366906145104007,0.368164152898479,0.357275188418788,0.338388187546683,0.31640402844116,0.35973115208908,0.381262073857554,0.393117551266056,0.354834527765828,0.355452774743389,0.446954041609495,0.484257190953548
Paraguay,PRY,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.043931156099482,0.047746815622844,0.0461174232925231,0.0482100562502494,0.0488074638749632,0.0481303617867531,0.0517077593035713,0.0546479004473552,0.0552504906271406,0.0567121309744035,0.0578004438382869,0.0576021836568956,0.0563557372808207,0.0565507358028991,0.0585469075009873,0.0598921248868705,0.0635667790896496
Peru,PER,Economic Fitness Metric,EF.EFM.PROD.XD,0.688487966227431,0.859841559493726,0.816565772462131,0.847568379532529,0.875061156324702,0.929595300730783,0.893038436336836,0.950388336658014,0.896824856450684,0.80288038475458,0.742665950095452,0.759963095675737,0.752031597480973,0.70073073062283,0.705509812559628,0.774150710386579,0.619066865409256
Peru,PER,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.213166920862329,0.255935216432592,0.267931896233878,0.266964893397287,0.273853451218903,0.282785445399515,0.278798773912777,0.275413143684146,0.265417459852227,0.257327797662469,0.251823664711518,0.249254963419191,0.249147169284822,0.239456337638232,0.242882981339078,0.244217243166958,0.236867991048702
